Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-319,Chrome 77.0.3865.120,#Deadline signal for condition access - (phase 2-vreemdeling),,2019-10-25 16:56:58,2019-10-25 16:58:33,1m - 34.146s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-319,Chrome 77.0.3865.120,"#Deadline signal for condition access - (phase 2-vreemdeling)
Description
For the Vremdeling module phase 2 there are some chanes required.
To send out Werk opdracht ones period of time is passed.

Solution
Create functionality that when in the Vreemdeling proces, in the Toegang tab when voorwaarde een ""oplegging van de plicht van 72 uren"" is selected, a signal is sent when this 72 hours (in hours) is exceeded.
This signal comes in the form of a Werkopdracht.
This Werkopdracht contains which plicht/voorwaarde has been exceeded, naam Verbalisant, naam Vreemdeling, datum, welke voorwaarde en verblijf adres.
After selecting and saving the voorwaarde, 72 hours must start counting. Here is also the possibility that when selecting an article with meldplicht that also a Notification/werkopdracht is sent to the Verbalisant entered in tab Toegang.

Check attachment for detailed description.

Testplan
Step 1: Go to Generiek - Assistentie.
Step 2: Go to Rol/proces tab and add a new Vreemdeling proces
Step 3: Fill in mandatory fields and save
Step 4: Go to tab Toegang and fill in the mandatory fields.
Step 5: add voorwaarde - ""oplegging van de plicht van 72 uren"" and changes date to 71 hours previous then current time.
Step 6: Save record.
Step 7: after 1hour and 1 minute a Werkopdracht has to be sent to the Verbalisant filled in Toegang (If record is updated with a Information in tab vertrek, werkopdracht should not be sent)

Note: In local TEST and DEV we don't have all 24 scheduled jobs setup. Instead what you can do is create the scheduled job if it isn't there and submit it immediately instead of waiting an hour. In dev you can run scheduled job ""POL3800201"" and for test run ""POL38002T1"". Your Vreemdeling still needs to be older than VREEMDELING_TOEGANG_DEADLINE_HOURS hours in order to make the task record though. The scheduled job just checks Vreemdelings.

Navigation
Generiek - Asstentie - rol/proces - Vreemdeling - tab Toegang",ACTPOL-319,2019-10-25 16:56:59,2019-10-25 16:58:33,1m - 33.563s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,,2019-10-25 16:57:01,2019-10-25 16:57:27,26.814s,PASSED
"markPassed(""PASS::Actpol web application login successfully"")",Chrome 77.0.3865.120,,,2019-10-25 16:57:27,2019-10-25 16:57:27,0.031s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 77.0.3865.120,,,2019-10-25 16:57:27,2019-10-25 16:57:27,0.004s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie""), ""assist"", false)",Chrome 77.0.3865.120,,,2019-10-25 16:57:27,2019-10-25 16:57:31,3.033s,PASSED
"setText(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie Set text""), Generiekassistenite_Module)",Chrome 77.0.3865.120,,,2019-10-25 16:57:31,2019-10-25 16:57:32,1.288s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-25 16:57:32,2019-10-25 16:57:34,2.006s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Zoeken new""))",Chrome 77.0.3865.120,,,2019-10-25 16:57:34,2019-10-25 16:57:35,0.876s,PASSED
delay(8),Chrome 77.0.3865.120,,,2019-10-25 16:57:35,2019-10-25 16:57:43,8.007s,PASSED
AssistentiedynamicId = Generiekassistenite_Module,Chrome 77.0.3865.120,Remember first set default assistentieid after run the script,,2019-10-25 16:57:43,2019-10-25 16:57:43,0.003s,PASSED
"Assistentiexpath = ""//*[text()="""" + AssistentiedynamicId + """"]/preceding-sibling::td/a[2]""",Chrome 77.0.3865.120,,,2019-10-25 16:57:43,2019-10-25 16:57:43,0.006s,PASSED
"to = findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/View Assistentie"")",Chrome 77.0.3865.120,,,2019-10-25 16:57:43,2019-10-25 16:57:43,0.633s,PASSED
"to.addProperty(""xpath"", EQUALS, Assistentiexpath)",Chrome 77.0.3865.120,,,2019-10-25 16:57:43,2019-10-25 16:57:43,0.051s,PASSED
println(to),Chrome 77.0.3865.120,,,2019-10-25 16:57:43,2019-10-25 16:57:43,0.091s,PASSED
click(to),Chrome 77.0.3865.120,,,2019-10-25 16:57:43,2019-10-25 16:57:44,0.851s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Confirmeren""))",Chrome 77.0.3865.120,,,2019-10-25 16:57:44,2019-10-25 16:57:45,1.107s,PASSED
delay(12),Chrome 77.0.3865.120,,,2019-10-25 16:57:45,2019-10-25 16:57:57,12.010s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click roll process""))",Chrome 77.0.3865.120,,,2019-10-25 16:57:57,2019-10-25 16:58:01,3.342s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-25 16:58:01,2019-10-25 16:58:03,2.008s,PASSED
"Vreemdelingverify = verifyElementVisible(findTestObject(""Object Repository/JIRA/A Relese 6.6/ACTPOL-317/Vreemdeling verify""), OPTIONAL)",Chrome 77.0.3865.120,,,2019-10-25 16:58:03,2019-10-25 16:58:03,0.546s,PASSED
log.logInfo(Vreemdelingverify),Chrome 77.0.3865.120,,,2019-10-25 16:58:03,2019-10-25 16:58:03,0.004s,PASSED
"verify2 = ""true""",Chrome 77.0.3865.120,,,2019-10-25 16:58:03,2019-10-25 16:58:03,0.009s,PASSED
if (Vreemdelingverify == verify2),Chrome 77.0.3865.120,,,2019-10-25 16:58:03,2019-10-25 16:58:30,26.971s,PASSED
