Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-547 and 570,Chrome 76.0.3809.132,MBES18 module,,2019-09-11 21:18:54,2019-09-11 21:23:36,4m - 42.002s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-547,Chrome 76.0.3809.132,"Change the dropdown item Wijkteam to Bureau/Afdeling in POLRAP0002
Navigation:
Display dropdown name ::  Bureau/Afdeling

Navigation:
Dashboard: Rapportage Assistentie
Click edit
Click Filter
Check Filter Change the dropdown item Wijkteam to Bureau/Afdeling",ACTPOL-547,2019-09-11 21:18:55,2019-09-11 21:21:31,2m - 36.468s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-11 21:18:57,2019-09-11 21:20:25,1m - 28.265s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-11 21:20:25,2019-09-11 21:20:26,1.025s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Dashboard/Dashboard""))",Chrome 76.0.3809.132,,,2019-09-11 21:20:26,2019-09-11 21:20:47,21.122s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-11 21:20:47,2019-09-11 21:20:49,2.009s,PASSED
"click(findTestObject(""Actpol_Scripts/Menu navigation/Dashboard/Rapportage Assistentie""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-11 21:20:49,2019-09-11 21:21:07,17.349s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-11 21:21:07,2019-09-11 21:21:09,2.011s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-547/Edit report Assistentie""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-11 21:21:09,2019-09-11 21:21:14,5.040s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-11 21:21:14,2019-09-11 21:21:16,2.012s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-547/periode""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-11 21:21:16,2019-09-11 21:21:17,0.929s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-11 21:21:17,2019-09-11 21:21:19,2.010s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-547/Filter""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-11 21:21:19,2019-09-11 21:21:20,1.068s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-11 21:21:20,2019-09-11 21:21:22,2.011s,PASSED
"selectOptionByLabel(findTestObject(""JIRA/A Relese 6.6/ACTPOL-547/Filter dropdown""), "" Afdeling "", false)",Chrome 76.0.3809.132,,,2019-09-11 21:21:22,2019-09-11 21:21:24,2.632s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-11 21:21:24,2019-09-11 21:21:26,2.010s,PASSED
