Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-308,309,310,316 and 344",Chrome 76.0.3809.100,Version Release 6.6\r\n\r\nEnhancements Vreemdelingen Module,,2019-08-21 19:07:03,2019-08-21 19:21:53,14m - 50.170s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-308,Chrome 76.0.3809.100,"Description
To be able to create documents with more information, new fields should be added to the Vreemdeling proces.

Solution
In process Vreemdeling below field Land, 
add field 'CRV nummer' and ‘IND BES nummer’. 
These new fields should not be mandatory, if a person has a CRV or IND BES number in ACTFMS this can be automatically included. (KPNAPF09G.BVDRCRVN)
Also add the fieldsLuchtvaart maatschappij/ rederij, naam vliegtuig/boot, telefoon nummer Boot/ vliegtuig, Agentschap, Geboorte plaats, telefoon nummer (Thuis, Mobiel en Werk), ticketnummer, PNR nummer, Meereizende minderjarige kinderen. As shown in the screenshot. 
This field should be saved in the same table as now Vreemdeling is saved.

See detailed description and screenshot in attachment.

Testplan
Step 1: Go to Generiek - assistentie - rol/proces - Vreemdeling
Step 2: Add a new vVreemdeling and fill all fields.
Step 3: it should be possible to register CRV nummer, ticketnummer, PNR nummer etc.

Navigation
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Toegang""))",Chrome 76.0.3809.100,"Click Toegang tab
",,2019-08-21 19:17:16,2019-08-21 19:17:16,0.827s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:17:16,2019-08-21 19:17:17,1.006s,PASSED
"scrollToElement(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Toezicht verbalisant2""), 1)",Chrome 76.0.3809.100,Click Toezicht verbalisant2 Search titles,,2019-08-21 19:17:17,2019-08-21 19:17:18,0.594s,PASSED
"scrollToPosition(1, 0)",Chrome 76.0.3809.100,,,2019-08-21 19:17:18,2019-08-21 19:17:18,0.062s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:17:18,2019-08-21 19:17:20,2.424s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Toezicht verbalisant1""))",Chrome 76.0.3809.100,Click Toezicht verbalisant1 Search titles,,2019-08-21 19:17:20,2019-08-21 19:17:22,1.978s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:17:22,2019-08-21 19:17:24,2.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Toezicht verbalisant1 lb""))",Chrome 76.0.3809.100,Select required drop down,,2019-08-21 19:17:24,2019-08-21 19:17:25,0.856s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:17:25,2019-08-21 19:17:27,2.006s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Toezicht verbalisant2""))",Chrome 76.0.3809.100,Click Toezicht verbalisant2 Search titles,,2019-08-21 19:17:27,2019-08-21 19:17:28,0.813s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:17:28,2019-08-21 19:17:30,2.003s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Toezicht verbalisant lb2""))",Chrome 76.0.3809.100,Select required drop down,,2019-08-21 19:17:30,2019-08-21 19:17:31,1.148s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:17:31,2019-08-21 19:17:33,2.006s,PASSED
"focus(findTestObject(""JIRA/A Relese 6.6/ACTPOL-310/Vreemdeling save""))",Chrome 76.0.3809.100,,,2019-08-21 19:17:33,2019-08-21 19:17:34,0.567s,PASSED
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-316,Chrome 76.0.3809.100,"Description
For the Vremdeling module phase 2 there are some chanes required in the Weigering tab.
To have additional field to create complete documents.

Solution
In Weigering Tab In Vreemdeling process, the following fields are added in the Weigering tab. Fields: To operator, To telephone, To telefax, Beheerst Nederlandse tijd (ja/nee), Taal verhoor (dropdown) naam Tolk, are processed in the Weigering tab.

Check attachment for detailed description.

Testplan
Step 1: Go to Generiek - Assistentie.
Step 2: Go to Rol/proces tab and add a new Vreemdeling proces
Step 3: Fill in mandatory fields and save
Step 4: Go to Weigering tab and add mandatory fields.
SteP 5: It should be possible to fill in ""Telefoon"", ""Telefax"" en ""Beheerst Nederlandse taal""
Step 6: It should be possible to save record.

Navigation
Generiek - Asstentie - rol/proces - Vreemdeling - tab Weigering",ACTPOL-316,2019-08-21 19:17:34,2019-08-21 19:19:40,2m - 5.651s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-21 19:17:35,2019-08-21 19:18:01,25.769s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie""), ""assist"", false)",Chrome 76.0.3809.100,,,2019-08-21 19:18:01,2019-08-21 19:18:14,13.268s,PASSED
"setText(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie Set text""), Generiekassistenite_Module)",Chrome 76.0.3809.100,,,2019-08-21 19:18:14,2019-08-21 19:18:15,1.097s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:18:15,2019-08-21 19:18:18,2.107s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Zoeken new""))",Chrome 76.0.3809.100,,,2019-08-21 19:18:18,2019-08-21 19:18:22,4.272s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:18:22,2019-08-21 19:18:24,2.005s,PASSED
AssistentiedynamicId = Generiekassistenite_Module,Chrome 76.0.3809.100,Remember first set default assistentieid after run the script,,2019-08-21 19:18:24,2019-08-21 19:18:24,0.002s,PASSED
"Assistentiexpath = ""//*[text()="""" + AssistentiedynamicId + """"]/preceding-sibling::td/a[2]""",Chrome 76.0.3809.100,,,2019-08-21 19:18:24,2019-08-21 19:18:24,0.001s,PASSED
"to = findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/View Assistentie"")",Chrome 76.0.3809.100,,,2019-08-21 19:18:24,2019-08-21 19:18:24,0.502s,PASSED
"to.addProperty(""xpath"", EQUALS, Assistentiexpath)",Chrome 76.0.3809.100,,,2019-08-21 19:18:24,2019-08-21 19:18:24,0.000s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-21 19:18:24,2019-08-21 19:18:29,5.103s,PASSED
click(to),Chrome 76.0.3809.100,,,2019-08-21 19:18:29,2019-08-21 19:18:30,0.459s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:18:30,2019-08-21 19:18:32,2.004s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Confirmeren""))",Chrome 76.0.3809.100,,,2019-08-21 19:18:32,2019-08-21 19:18:39,7.400s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-21 19:18:39,2019-08-21 19:18:44,5.004s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click roll process""))",Chrome 76.0.3809.100,,,2019-08-21 19:18:44,2019-08-21 19:18:47,2.527s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:18:47,2019-08-21 19:18:49,2.004s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click new process""))",Chrome 76.0.3809.100,,,2019-08-21 19:18:49,2019-08-21 19:18:49,0.620s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:18:49,2019-08-21 19:18:51,2.003s,PASSED
"comment(""Select process ""VREEMDELING"""")",Chrome 76.0.3809.100,,,2019-08-21 19:18:51,2019-08-21 19:18:51,0.003s,PASSED
"selectOptionByLabel(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Rol Proces Type""), ""VREEMDELING"", false)",Chrome 76.0.3809.100,Select required dropdown,,2019-08-21 19:18:51,2019-08-21 19:18:52,0.559s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-21 19:18:52,2019-08-21 19:18:55,3.003s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-308/Vliegmaatschappij_Rederij""), ""Katalon testing"")",Chrome 76.0.3809.100,Enter the text,,2019-08-21 19:18:55,2019-08-21 19:18:56,1.068s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:18:56,2019-08-21 19:18:57,1.003s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-308/Naam boot_vliegtuig""), ""Katalon testing"")",Chrome 76.0.3809.100,Enter the text,,2019-08-21 19:18:57,2019-08-21 19:18:58,0.737s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:18:58,2019-08-21 19:18:59,1.004s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-308/Telefoon boot_vliegtuig""), ""Katalon testing"")",Chrome 76.0.3809.100,Enter the telefoon number,,2019-08-21 19:18:59,2019-08-21 19:19:00,0.710s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:00,2019-08-21 19:19:01,1.003s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-308/Agentschap""), ""Katalon testing"")",Chrome 76.0.3809.100,Enter the text,,2019-08-21 19:19:01,2019-08-21 19:19:01,0.780s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:01,2019-08-21 19:19:02,1.004s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-308/Achternaam""), ""aa"")",Chrome 76.0.3809.100,Enter the text,,2019-08-21 19:19:02,2019-08-21 19:19:03,0.592s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:19:03,2019-08-21 19:19:05,2.006s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-308/Achternaam lb""))",Chrome 76.0.3809.100,Select required dropdown,,2019-08-21 19:19:05,2019-08-21 19:19:05,0.506s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:19:05,2019-08-21 19:19:07,2.003s,PASSED
"scrollToPosition(10, 8)",Chrome 76.0.3809.100,,,2019-08-21 19:19:07,2019-08-21 19:19:07,0.060s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-21 19:19:07,2019-08-21 19:19:10,3.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-309/Vreemdeling TAB""))",Chrome 76.0.3809.100,Click Vreemdeling tab,,2019-08-21 19:19:10,2019-08-21 19:19:11,0.584s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:11,2019-08-21 19:19:12,1.006s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Weigering tab""))",Chrome 76.0.3809.100,Click Weigering tab,,2019-08-21 19:19:12,2019-08-21 19:19:13,0.633s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:13,2019-08-21 19:19:14,1.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Weigering door1""))",Chrome 76.0.3809.100,Click Weigering door1,,2019-08-21 19:19:14,2019-08-21 19:19:14,0.566s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:19:14,2019-08-21 19:19:16,2.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Weigering door1 lb1""))",Chrome 76.0.3809.100,Select required dropdown,,2019-08-21 19:19:16,2019-08-21 19:19:17,0.612s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:17,2019-08-21 19:19:18,1.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Weigering door2""))",Chrome 76.0.3809.100,Click Weigering door2,,2019-08-21 19:19:18,2019-08-21 19:19:18,0.526s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:19:18,2019-08-21 19:19:20,2.003s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Weigering door2 lb 2""))",Chrome 76.0.3809.100,Select required dropdown,,2019-08-21 19:19:20,2019-08-21 19:19:21,0.539s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:21,2019-08-21 19:19:22,1.006s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Gebeld naar""), ""Gebeld naar"")",Chrome 76.0.3809.100,Enter text from the feild :: Gebeld naar,,2019-08-21 19:19:22,2019-08-21 19:19:23,0.768s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:23,2019-08-21 19:19:24,1.002s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Gebelde nummer""), ""Gebelde nummer"")",Chrome 76.0.3809.100,Enter text from the feild :: Gebelde nummer,,2019-08-21 19:19:24,2019-08-21 19:19:25,0.774s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:25,2019-08-21 19:19:26,1.006s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Telefax""), ""Telefax"")",Chrome 76.0.3809.100,Enter text from the feild :: Telefax,,2019-08-21 19:19:26,2019-08-21 19:19:26,0.622s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:26,2019-08-21 19:19:27,1.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Beheerst nederlandse taal""))",Chrome 76.0.3809.100,"Click Beheerst nederlandse taal ja
",,2019-08-21 19:19:27,2019-08-21 19:19:28,0.546s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:28,2019-08-21 19:19:29,1.004s,PASSED
"selectOptionByLabel(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Taal verhoor""), ""CHINEES"", false)",Chrome 76.0.3809.100,Select required dropdown from the list,,2019-08-21 19:19:29,2019-08-21 19:19:29,0.560s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:29,2019-08-21 19:19:30,1.003s,PASSED
"setText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Naam Tolk""), ""Naam Tolk"")",Chrome 76.0.3809.100,Enter the text :: Naam Tolk,,2019-08-21 19:19:30,2019-08-21 19:19:31,0.699s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:31,2019-08-21 19:19:32,1.004s,PASSED
"selectOptionByLabel(findTestObject(""JIRA/A Relese 6.6/ACTPOL-316/Weigering post""), ""Bonaire Post 1"", false)",Chrome 76.0.3809.100,Select required drop down :: Weigering post,,2019-08-21 19:19:32,2019-08-21 19:19:33,0.610s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-21 19:19:33,2019-08-21 19:19:34,1.002s,PASSED
