Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-552,Chrome 76.0.3809.100,#Enhancements Vreemdelingen Module,,2019-08-27 15:14:24,2019-08-27 15:18:36,4m - 12.483s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-552,Chrome 76.0.3809.100,"Description
Possibility to Kopie Assistentie into Melding Mensenhandel.

Solution
Add in Assistentie Melding a button called 'Mensenhandel/Mensensmokkel'.
When this information is selected the following information should be copied:

Incident (number) - Assistentie number-Eventnumber
Adres van incident
Adres # van incident
Incident
Datum Melding
Tijd Melding
Aangewezen aan
Mutatie
(assistentie should be saved and everything should remain the same).
This information copied should create automatically a new record in Generiek - Melding.
Type Melding should be Assistentie
Naam Melder should be the user that created the Assistentie
Wekzaam bij should be organisation of this user
Datum should be same as when button Mensenhandel/Mensensmokkel is selected
Status is automatically in Behandeling.
The copied information should be added in the Omschrijving field.

Testplan
Step 1: Generiek - Assistentie - add a new assistentie
Step 2: Fill in mandatory fields and save.
Step 3: Edit existing record and select button Mensenhandel/Mensensmokkel and click save
Step 4: Go to Melding Mensenhandel - the information entered in the assistentie should be visible here.

Navigation
Generiek - Assistentie - Nieuw assistentie
Intake - Calltaker
Also Generiek Melding Mensenhandel",ACTPOL-552,2019-08-27 15:14:24,2019-08-27 15:18:36,4m - 11.884s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-27 15:14:26,2019-08-27 15:14:54,27.502s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 76.0.3809.100,,,2019-08-27 15:14:54,2019-08-27 15:15:07,12.960s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-27 15:15:07,2019-08-27 15:15:09,2.030s,PASSED
"click(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Assistenties""))",Chrome 76.0.3809.100,,,2019-08-27 15:15:09,2019-08-27 15:15:14,4.982s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-27 15:15:14,2019-08-27 15:15:16,2.006s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Assistentie New""))",Chrome 76.0.3809.100,"Creating New Incident
",,2019-08-27 15:15:16,2019-08-27 15:15:26,9.997s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-27 15:15:26,2019-08-27 15:15:31,5.005s,PASSED
"setText(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Bron""), ""k"")",Chrome 76.0.3809.100,,,2019-08-27 15:15:31,2019-08-27 15:15:31,0.605s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-27 15:15:31,2019-08-27 15:15:33,2.006s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Born lb""))",Chrome 76.0.3809.100,,,2019-08-27 15:15:33,2019-08-27 15:15:34,0.677s,PASSED
"setText(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Telefoon nummer""), ""9999999999"", OPTIONAL)",Chrome 76.0.3809.100,,,2019-08-27 15:15:34,2019-08-27 15:15:35,0.731s,PASSED
"setText(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Titel""), ""Testing test"")",Chrome 76.0.3809.100,,,2019-08-27 15:15:35,2019-08-27 15:15:35,0.721s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Lokatie type""), ""1"", false)",Chrome 76.0.3809.100,Select drop down from the list :: COMERCIELE INSTELLING,,2019-08-27 15:15:35,2019-08-27 15:15:36,0.744s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-27 15:15:36,2019-08-27 15:15:38,2.007s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Incident Adres""))",Chrome 76.0.3809.100,,,2019-08-27 15:15:38,2019-08-27 15:15:39,0.582s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-27 15:15:39,2019-08-27 15:15:41,2.006s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Incident Adres lb""))",Chrome 76.0.3809.100,ANDRES BELLO WEG,,2019-08-27 15:15:41,2019-08-27 15:15:41,0.726s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-27 15:15:41,2019-08-27 15:15:46,5.005s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/ter hoogte van""), OPTIONAL)",Chrome 76.0.3809.100,,,2019-08-27 15:15:46,2019-08-27 15:15:47,0.602s,PASSED
"setText(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Nadere Aanduiding""), ""Testing"")",Chrome 76.0.3809.100,,,2019-08-27 15:15:47,2019-08-27 15:15:48,0.698s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-27 15:15:48,2019-08-27 15:15:53,5.006s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Bekende plaats""))",Chrome 76.0.3809.100,,,2019-08-27 15:15:53,2019-08-27 15:15:53,0.003s,NOT_RUN
delay(2),Chrome 76.0.3809.100,,,2019-08-27 15:15:53,2019-08-27 15:15:53,0.001s,NOT_RUN
