Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-569,Chrome 76.0.3809.132,#MBES18 module,,2019-09-10 21:17:24,2019-09-10 21:20:42,3m - 17.849s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-569,Chrome 76.0.3809.132,"Description:
Possibility to search in MBES18 module (left column).

Solution:
Create in the MBES18 module posibility to search on Datum incident, Bijzonderheden, Voornaam, Achternaam and Geboortedatum.

Testplan:
Step 1: Go to Opsporing - MBES18
Step 2: Select a voornaam that is visible in the grid.
Step 3: enter this voornaam in the left column in field voornaam and click filter.
Step 4: All record where this voornaam is entered should show in the search results.

Navigation:
Opsporing - MBES18",ACTPOL-569,2019-09-10 21:17:25,2019-09-10 21:20:42,3m - 16.834s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-10 21:17:28,2019-09-10 21:18:25,57.558s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 76.0.3809.132,,,2019-09-10 21:18:25,2019-09-10 21:18:44,18.459s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:18:44,2019-09-10 21:18:45,1.024s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 76.0.3809.132,,,2019-09-10 21:18:45,2019-09-10 21:18:49,4.277s,PASSED
"comment(""Adding all feilds of MBES18 "")",Chrome 76.0.3809.132,,,2019-09-10 21:18:49,2019-09-10 21:18:49,0.025s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-10 21:18:49,2019-09-10 21:18:51,2.031s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Datum Incident Calender icon""))",Chrome 76.0.3809.132,,,2019-09-10 21:18:51,2019-09-10 21:18:53,1.730s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-10 21:18:53,2019-09-10 21:18:55,2.009s,PASSED
"selectOptionByLabel(findTestObject(""Actpol_Scripts/Monthyear/Leftmonth""), ""sep"", false)",Chrome 76.0.3809.132,,,2019-09-10 21:18:55,2019-09-10 21:18:56,0.799s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:18:56,2019-09-10 21:18:57,1.009s,PASSED
"selectOptionByLabel(findTestObject(""Actpol_Scripts/Monthyear/Leftyear""), ""2019"", false)",Chrome 76.0.3809.132,,,2019-09-10 21:18:57,2019-09-10 21:18:58,0.815s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:18:58,2019-09-10 21:18:59,1.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Date/14 th""))",Chrome 76.0.3809.132,,,2019-09-10 21:18:59,2019-09-10 21:19:00,1.007s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:19:00,2019-09-10 21:19:01,1.010s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Bijzonderheden""), Bijzonderheden)",Chrome 76.0.3809.132,,,2019-09-10 21:19:01,2019-09-10 21:19:02,1.062s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:19:02,2019-09-10 21:19:03,1.007s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Voornaam""), Voornaam)",Chrome 76.0.3809.132,,,2019-09-10 21:19:03,2019-09-10 21:19:04,1.105s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:19:04,2019-09-10 21:19:05,1.015s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Achternaam""), Achternaam)",Chrome 76.0.3809.132,,,2019-09-10 21:19:05,2019-09-10 21:19:06,0.930s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:19:06,2019-09-10 21:19:07,1.006s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Geboortedatum textbox""), Geboortedatum)",Chrome 76.0.3809.132,,,2019-09-10 21:19:07,2019-09-10 21:19:08,1.035s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-10 21:19:08,2019-09-10 21:19:10,2.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Filter""))",Chrome 76.0.3809.132,,,2019-09-10 21:19:10,2019-09-10 21:19:12,2.338s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:19:12,2019-09-10 21:19:13,1.005s,PASSED
"scrollToPosition(10, 7)",Chrome 76.0.3809.132,,,2019-09-10 21:19:13,2019-09-10 21:19:13,0.069s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-10 21:19:13,2019-09-10 21:19:14,1.007s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.132,,,2019-09-10 21:19:14,2019-09-10 21:19:14,0.005s,PASSED
"log.logInfo(getText(findTestObject(""Actpol_Scripts/Opsporing/MBES18/10 MBES search module/Datum Incident get text"")))",Chrome 76.0.3809.132,,,2019-09-10 21:19:14,2019-09-10 21:19:15,1.005s,PASSED
